"chr","QTL","pos_lo","pos_hi","lodcolumn","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47110789,47114768,"Bradi4g43471","","","","","LOC_Os01g24340","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47117436,47120719,"Bradi4g43481","","","","","LOC_Os01g24420","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47122386,47124756,"Bradi4g43490","GO:0008138,GO:0006470","AT4G18593","","dual specificity protein phosphatase-related","LOC_Os11g04180","dual specificity protein phosphatase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47125033,47129345,"Bradi4g43500","GO:0034457,GO:0006364,GO:0005732,GO:0005634","AT5G66540","","","LOC_Os12g04010","M-phase phosphoprotein 10, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47131629,47134991,"Bradi4g43510","GO:0003824","AT2G26800","","Aldolase superfamily protein","LOC_Os11g04210","hydroxymethylglutaryl-CoA lyase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47135097,47150677,"Bradi4g43517","","AT2G26780","","ARM repeat superfamily protein","LOC_Os11g04220","HEAT repeat family protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47150741,47157268,"Bradi4g43530","GO:0005525","AT1G76810","","eukaryotic translation initiation factor 2 (eIF-2) family protein","LOC_Os05g51500","eukaryotic translation initiation factor 5B, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47167639,47168022,"Bradi4g43538","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47168121,47171614,"Bradi4g43547","","AT1G52620","","Pentatricopeptide repeat (PPR) superfamily protein","LOC_Os11g04295","pentatricopeptide repeat domain containing protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47172671,47174899,"Bradi4g43560","GO:0005515","AT5G26960","","Galactose oxidase/kelch repeat superfamily protein","LOC_Os12g04130","OsFBO23 - F-box and other domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47178759,47180215,"Bradi4g43571","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47184694,47189630,"Bradi4g43580","GO:0055085,GO:0022857,GO:0016021","AT5G13750","ZIFL1","zinc induced facilitator-like 1","LOC_Os11g04030","major facilitator superfamily antiporter, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47191051,47199461,"Bradi4g43590","GO:0055085,GO:0022857,GO:0016021","AT3G43790","ZIFL2","zinc induced facilitator-like 2","LOC_Os12g03870","major facilitator superfamily antiporter, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47200226,47202153,"Bradi4g43610","GO:0055114,GO:0016491","AT4G10490","","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","LOC_Os07g07410","oxidoreductase, 2OG-Fe oxygenase family protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47204706,47209129,"Bradi4g43620","GO:0055085,GO:0016021","AT5G13750","ZIFL1","zinc induced facilitator-like 1","LOC_Os12g03870","major facilitator superfamily antiporter, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47214060,47215965,"Bradi4g43630","","AT2G27030","ACAM-2,CAM5","calmodulin 5","LOC_Os11g03980","OsCML2 - Calmodulin-related calcium sensor protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47216319,47221725,"Bradi4g43640","GO:0030246,GO:0005975,GO:1901137,GO:0004360","AT3G24090","","glutamine-fructose-6-phosphate transaminase (isomerizing)s;sugar binding;transaminases","LOC_Os12g03720","glucosamine--fructose-6-phosphate aminotransferase 1, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47224075,47227332,"Bradi4g43650","GO:0008270","AT3G56930","","DHHC-type zinc finger family protein","LOC_Os12g03730","zinc finger DHHC domain-containing protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47227535,47228895,"Bradi4g43660","","AT5G51960","","","LOC_Os11g03920","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47229282,47232840,"Bradi4g43670","","AT2G40980","","Protein kinase superfamily protein","LOC_Os02g29890","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47236116,47242735,"Bradi4g43680","","AT2G37650","","GRAS family transcription factor","LOC_Os03g48450","SCARECROW, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47244584,47244865,"Bradi4g43686","","AT5G56480","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","LOC_Os11g03870","LTPL31 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47250032,47255595,"Bradi4g43690","GO:0048544","AT2G19130","","S-locus lectin protein kinase family protein","LOC_Os03g30890","S-locus-like receptor protein kinase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47258620,47264014,"Bradi4g43700","GO:0005515","AT3G56900","","Transducin/WD40 repeat-like superfamily protein","LOC_Os12g03540","WD domain, G-beta repeat domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47261354,47261850,"Bradi4g43705","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47264041,47271542,"Bradi4g43710","GO:0046556,GO:0046373","AT3G10740","ARAF,ARAF1,ASD1,ATASD1","alpha-L-arabinofuranosidase 1","LOC_Os11g03730","alpha-N-arabinofuranosidase A, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47266696,47267687,"Bradi4g43713","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47273273,47276932,"Bradi4g43717","GO:0034968,GO:0018024,GO:0008270,GO:0005634,GO:0005515,GO:0042393","AT1G73100","SDG19,SUVH3","SU(VAR)3-9 homolog 3","LOC_Os11g03700","histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH1, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47278631,47282863,"Bradi4g43730","","AT4G09810","","Nucleotide-sugar transporter family protein","LOC_Os12g05780","transporter-related, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47283351,47286576,"Bradi4g43740","GO:0055085,GO:0016021,GO:0008324,GO:0006812","AT3G61940","ATMTPA1,MTPA1","Cation efflux family protein","LOC_Os05g03780","cation efflux family protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47287452,47293898,"Bradi4g43743","","AT1G55360","","Protein of Unknown Function (DUF239)","LOC_Os04g12639","carboxyl-terminal proteinase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47297848,47299612,"Bradi4g43750","","AT1G26750","","","LOC_Os12g10650","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47299654,47303466,"Bradi4g43760","GO:0016021","AT5G19750","","Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein","LOC_Os11g03670","Mpv17 / PMP22 family domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47304079,47305500,"Bradi4g43770","","AT2G41010","ATCAMBP25,CAMBP25","calmodulin (CAM)-binding protein of 25 kDa","LOC_Os11g03660","VQ domain containing protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47305853,47310825,"Bradi4g43780","","AT2G32760","","","LOC_Os06g50110","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47310913,47314457,"Bradi4g43790","","AT5G17910","","","LOC_Os12g03410","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47315161,47316441,"Bradi4g43800","","AT2G27080","","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family","LOC_Os12g03370","harpin-induced protein 1 domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47318234,47321084,"Bradi4g43810","GO:0030915,GO:0006281","AT5G21140","emb1379","embryo defective 1379","LOC_Os11g03590","EMB1379, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47322568,47324833,"Bradi4g43811","","AT5G18460","","Protein of Unknown Function (DUF239)","LOC_Os02g54960","carboxyl-terminal proteinase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47335492,47337522,"Bradi4g43812","","AT2G17750","NIP1","NEP-interacting protein 1","LOC_Os02g54960","carboxyl-terminal proteinase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47340364,47345045,"Bradi4g43813","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47350149,47352187,"Bradi4g43815","","AT5G18460","","Protein of Unknown Function (DUF239)","LOC_Os02g54960","carboxyl-terminal proteinase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47358894,47360988,"Bradi4g43816","","AT3G13510","","Protein of Unknown Function (DUF239)","LOC_Os02g54960","carboxyl-terminal proteinase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47363013,47366503,"Bradi4g43820","GO:0016773,GO:0005975,GO:0005524,GO:0046835,GO:0005536,GO:0004396,GO:0001678","AT4G29130","ATHXK1,GIN2,HXK1","hexokinase 1","LOC_Os01g53930","hexokinase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47364354,47365541,"Bradi4g43823","","","","","LOC_Os04g01600","erythronate-4-phosphate dehydrogenase domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47369666,47370696,"Bradi4g43825","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47383297,47388950,"Bradi4g43827","","AT5G65180","","ENTH/VHS family protein","LOC_Os12g03340","protein of unknown function, DUF618 domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47390274,47394352,"Bradi4g43850","GO:0043565,GO:0006355,GO:0003700","AT3G56850","AREB3,DPBF3","ABA-responsive element binding protein 3","LOC_Os05g41070","bZIP transcription factor, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47395191,47397492,"Bradi4g43860","GO:0055114,GO:0016491","AT4G10490","","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","LOC_Os07g07410","oxidoreductase, 2OG-Fe oxygenase family protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47398620,47402841,"Bradi4g43870","","AT5G50350","","","LOC_Os11g03550","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47406037,47411460,"Bradi4g43877","GO:0006355,GO:0003700,GO:0007275","AT3G54320","ASML1,ATWRI1,WRI,WRI1","Integrase-type DNA-binding superfamily protein","LOC_Os12g03290","AP2 domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47412214,47413688,"Bradi4g43890","GO:0016788","AT4G10950","","SGNH hydrolase-type esterase superfamily protein","LOC_Os11g03520","GDSL-like lipase/acylhydrolase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47419802,47423928,"Bradi4g43900","GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855","AT1G33110","","MATE efflux family protein","LOC_Os12g03260","MATE efflux family protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47424636,47427402,"Bradi4g43910","","AT2G47170","ARF1A1C","Ras-related small GTP-binding family protein","LOC_Os01g59790","ADP-ribosylation factor, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47427895,47431788,"Bradi4g43920","GO:0055114,GO:0050661,GO:0016491,GO:0006520","AT5G21060","","Glyceraldehyde-3-phosphate dehydrogenase-like family protein","LOC_Os12g03190","bifunctional aspartokinase/homoserine dehydrogenase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47432057,47437059,"Bradi4g43930","GO:0007094","AT5G05510","","Mad3/BUB1 homology region 1","LOC_Os11g03460","Mad3/BUB1 homology region 1 domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47438983,47441434,"Bradi4g43933","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47441690,47443534,"Bradi4g43937","","AT3G28910","ATMYB30,MYB30","myb domain protein 30","LOC_Os11g03440","myb-like DNA-binding domain containing protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47450402,47452646,"Bradi4g43950","GO:0006270","AT3G25100","CDC45","cell division cycle 45","LOC_Os12g03130","CDC45A - Putative DNA replication initiation protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47457754,47458853,"Bradi4g43960","","AT1G18835","MIF3","mini zinc finger","LOC_Os11g03420","ZF-HD protein dimerisation region containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47460148,47460961,"Bradi4g43965","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47463390,47464783,"Bradi4g43970","","AT3G50120","","Plant protein of unknown function (DUF247)","LOC_Os06g33350","plant protein of unknown function domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47468103,47469052,"Bradi4g43980","GO:0006412,GO:0005840,GO:0003735","AT2G09990","","Ribosomal protein S5 domain 2-like superfamily protein","LOC_Os11g03400","ribosomal protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47471114,47475106,"Bradi4g43990","","AT3G13410","","","LOC_Os11g03380","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47478837,47480440,"Bradi4g43995","GO:0006355,GO:0003677","AT5G53950","ANAC098,ATCUC2,CUC2","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein","LOC_Os12g03050","no apical meristem protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47495516,47497253,"Bradi4g44000","GO:0006355,GO:0003677","AT3G04070","anac047,NAC047","NAC domain containing protein 47","LOC_Os11g03300","NAC domain transcription factor, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47502054,47504622,"Bradi4g44013","GO:0016787","AT5G18280","APY2,ATAPY2","apyrase 2","LOC_Os11g03290","nucleoside-triphosphatase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47507550,47509781,"Bradi4g44027","GO:0016787","AT5G18280","APY2,ATAPY2","apyrase 2","LOC_Os11g03290","nucleoside-triphosphatase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47517175,47521616,"Bradi4g44040","GO:0046872","AT3G51950","","Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein","LOC_Os03g21140","RNA-binding zinc finger protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47524298,47531546,"Bradi4g44050","","AT4G14180","AtPRD1,PRD1","putative recombination initiation defect 1","LOC_Os04g28020","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47536329,47541692,"Bradi4g44060","","AT1G58210","EMB1674","kinase interacting family protein","LOC_Os04g28040","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47545073,47549575,"Bradi4g44070","GO:0016757,GO:0047262","AT2G38650","GAUT7,LGT7","galacturonosyltransferase 7","LOC_Os12g02910","glycosyl transferase, family 8, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47549576,47552560,"Bradi4g44077","","AT1G57610","","Protein of unknown function (DUF607)","LOC_Os12g02880","E2F-related protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47553550,47554497,"Bradi4g44085","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47554834,47558752,"Bradi4g44093","","AT3G54220","SCR,SGR1","GRAS family transcription factor","LOC_Os11g03110","GRAS family transcription factor domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47572114,47574405,"Bradi4g44101","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47578932,47581514,"Bradi4g44110","GO:0055085,GO:0016021,GO:0015299,GO:0006812","AT2G13620","ATCHX15,CHX15","cation/hydrogen exchanger 15","LOC_Os12g02840","ATCHX, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47582161,47586071,"Bradi4g44120","GO:0007034","AT4G29160","SNF7.1","SNF7 family protein","LOC_Os11g03060","SNF7 domain containing protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47586661,47592124,"Bradi4g44130","GO:0009058,GO:0003824","AT2G38670","PECT1","phosphorylethanolamine cytidylyltransferase 1","LOC_Os12g02820","cytidylyltransferase domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47596587,47601616,"Bradi4g44140","GO:0006468,GO:0004672","AT5G01020","","Protein kinase superfamily protein","LOC_Os06g45280","protein kinase APK1B, chloroplast precursor, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47603357,47604029,"Bradi4g44145","","AT5G01015","","","LOC_Os12g02800","CRP11 - Cysteine-rich family protein precursor, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47604207,47605524,"Bradi4g44151","","","","","LOC_Os05g35550","hypothetical protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47609013,47609579,"Bradi4g44157","","","","","LOC_Os09g12630","expressed protein"
